seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
142,grokked,embed.weight,structured_rank1,0.02,2,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.05,0,0.0,0.0,0.917,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.927,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.925,0.0,0.92
142,pregrok,embed.weight,gaussian_random,0.005,0,300.0,2000.0,0.504,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.005,1,100.0,2000.0,0.502,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.005,2,100.0,2000.0,0.503,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.01,0,300.0,2000.0,0.5,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.01,1,100.0,2000.0,0.502,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.01,2,200.0,2000.0,0.511,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.02,0,100.0,2000.0,0.495,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.02,1,100.0,2000.0,0.503,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.02,2,100.0,2000.0,0.514,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.05,0,100.0,2000.0,0.512,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.05,1,200.0,2000.0,0.504,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.05,2,100.0,2000.0,0.502,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.005,0,500.0,2000.0,0.501,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.005,1,300.0,2000.0,0.507,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.005,2,100.0,2000.0,0.503,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.01,0,100.0,2000.0,0.503,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.01,1,200.0,2000.0,0.512,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.01,2,200.0,2000.0,0.507,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.02,0,100.0,2000.0,0.5,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.02,1,100.0,2000.0,0.502,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.02,2,200.0,2000.0,0.509,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.05,0,100.0,2000.0,0.511,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.05,1,200.0,2000.0,0.495,1.0,0.498
142,pregrok,embed.weight,structured_rank1,0.05,2,100.0,2000.0,0.503,1.0,0.498
143,grokked,embed.weight,gaussian_random,0.005,0,0.0,2000.0,0.891,1.0,0.8795
143,grokked,embed.weight,gaussian_random,0.005,1,0.0,1200.0,0.895,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.005,2,0.0,1200.0,0.896,1.0,0.8795
143,grokked,embed.weight,gaussian_random,0.01,0,0.0,900.0,0.899,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.01,1,0.0,1600.0,0.894,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.01,2,0.0,800.0,0.897,1.0,0.8795
143,grokked,embed.weight,gaussian_random,0.02,0,0.0,1300.0,0.894,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.02,1,0.0,1200.0,0.895,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.02,2,0.0,600.0,0.896,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.05,0,0.0,1600.0,0.894,1.0,0.8795
143,grokked,embed.weight,gaussian_random,0.05,1,0.0,1200.0,0.897,0.0,0.8795
143,grokked,embed.weight,gaussian_random,0.05,2,0.0,700.0,0.89,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.005,0,0.0,1600.0,0.893,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.005,1,0.0,500.0,0.893,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.005,2,0.0,2000.0,0.892,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.01,0,0.0,1000.0,0.894,0.0,0.8795
143,grokked,embed.weight,structured_rank1,0.01,1,0.0,800.0,0.892,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.01,2,0.0,1600.0,0.894,0.0,0.8795
143,grokked,embed.weight,structured_rank1,0.02,0,0.0,1400.0,0.891,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.02,1,0.0,1600.0,0.892,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.02,2,0.0,1800.0,0.895,0.0,0.8795
143,grokked,embed.weight,structured_rank1,0.05,0,0.0,600.0,0.896,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.05,1,0.0,1900.0,0.892,1.0,0.8795
143,grokked,embed.weight,structured_rank1,0.05,2,0.0,1600.0,0.895,0.0,0.8795
143,pregrok,embed.weight,gaussian_random,0.005,0,0.0,2000.0,0.511,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.005,1,0.0,2000.0,0.52,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.005,2,0.0,2000.0,0.512,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.01,0,0.0,2000.0,0.516,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.01,1,0.0,2000.0,0.522,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.01,2,0.0,2000.0,0.511,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.02,0,0.0,2000.0,0.515,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.02,1,0.0,2000.0,0.528,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.02,2,0.0,2000.0,0.518,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.05,0,0.0,2000.0,0.516,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.05,1,0.0,2000.0,0.531,1.0,0.5145
143,pregrok,embed.weight,gaussian_random,0.05,2,0.0,2000.0,0.524,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.005,0,0.0,2000.0,0.514,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.005,1,0.0,2000.0,0.529,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.005,2,0.0,2000.0,0.519,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.01,0,0.0,2000.0,0.52,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.01,1,0.0,2000.0,0.515,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.01,2,0.0,2000.0,0.515,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.02,0,0.0,2000.0,0.519,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.02,1,0.0,2000.0,0.506,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.02,2,0.0,2000.0,0.516,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.05,0,0.0,2000.0,0.528,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.05,1,0.0,2000.0,0.522,1.0,0.5145
143,pregrok,embed.weight,structured_rank1,0.05,2,0.0,2000.0,0.517,1.0,0.5145
144,grokked,embed.weight,gaussian_random,0.005,0,0.0,0.0,0.928,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.005,1,0.0,0.0,0.914,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.005,2,0.0,0.0,0.93,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.01,0,0.0,0.0,0.928,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.01,1,0.0,0.0,0.908,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.01,2,0.0,0.0,0.93,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.02,0,0.0,0.0,0.92,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.02,1,0.0,0.0,0.93,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.02,2,0.0,0.0,0.929,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.05,0,0.0,0.0,0.917,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.05,1,0.0,0.0,0.928,0.0,0.924
144,grokked,embed.weight,gaussian_random,0.05,2,0.0,0.0,0.928,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.005,0,0.0,0.0,0.913,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.005,1,0.0,0.0,0.93,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.005,2,0.0,0.0,0.917,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.01,0,0.0,0.0,0.93,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.01,1,0.0,0.0,0.927,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.01,2,0.0,0.0,0.921,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.02,0,0.0,0.0,0.929,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.02,1,0.0,0.0,0.917,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.02,2,0.0,0.0,0.929,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.05,0,0.0,0.0,0.928,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.918,0.0,0.924
144,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.93,0.0,0.924
144,pregrok,embed.weight,gaussian_random,0.005,0,500.0,2000.0,0.499,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.005,1,1600.0,2000.0,0.498,1.0,0.4915
144,pregrok,embed.weight,gaussian_random,0.005,2,1900.0,2000.0,0.496,1.0,0.4915
